position,player,team,matchup,projection,error,hold
DEF,Buccaneers,TB,vs. Browns,9.6,,
DEF,49ers,SF,vs. Dolphins,9.1,,
DEF,Eagles,PHI,@ Titans,7.9,,
DEF,Packers,GB,@ Jets,7.8,,
DEF,Seahawks,SEA,@ Cardinals,7.5,,
DEF,Chiefs,KC,vs. Colts,7.1,,
DEF,Patriots,NE,vs. Steelers,7.0,,
DEF,Chargers,LAC,vs. Raiders,7.0,,
DEF,Ravens,BAL,vs. Saints,6.9,,
DEF,Bears,CHI,vs. Vikings,6.6,,
DEF,Rams,LAR,vs. Giants,6.6,,
DEF,Broncos,DEN,vs. Jaguars,6.1,,
DEF,Panthers,CAR,@ Falcons,5.6,,
DEF,Cardinals,ARI,vs. Seahawks,5.4,,
DEF,Titans,TEN,vs. Eagles,5.3,,
DEF,Jaguars,JAC,@ Broncos,5.2,,
DEF,Steelers,PIT,@ Patriots,5.2,,
DEF,Cowboys,DAL,vs. Commanders,4.8,,
DEF,Texans,HOU,vs. Bengals,4.8,,
DEF,Bills,BUF,vs. Lions,4.6,,
DEF,Raiders,LV,@ Chargers,4.5,,
DEF,Bengals,CIN,@ Texans,4.2,,
DEF,Browns,CLE,@ Buccaneers,4.2,,
DEF,Falcons,ATL,vs. Panthers,3.9,,
DEF,Jets,NYJ,vs. Packers,3.9,,
DEF,Vikings,MIN,@ Bears,3.8,,
DEF,Saints,NO,@ Ravens,3.7,,
DEF,Colts,IND,@ Chiefs,3.2,,
DEF,Giants,NYG,@ Rams,2.5,,
DEF,Dolphins,MIA,@ 49ers,2.2,,
DEF,Commanders,WAS,@ Cowboys,2.1,,
DEF,Lions,DET,@ Bills,2.0,,
K,Evan McPherson,CIN,@ HOU,9.7,,
K,Eddy Pineiro,SF,vs. MIA,9.7,,
K,Brandon Aubrey,DAL,vs. WAS,9.6,,
K,Andres Borregales,NE,vs. PIT,9.5,,
K,Cameron Dicker,LAC,vs. LV,9.4,,
K,Ka'imi Fairbairn,HOU,vs. CIN,9.4,,
K,Ryan Fitzgerald,CAR,@ ATL,9.3,,
K,Harrison Butker,KC,vs. IND,9.3,,
K,Tyler Loop,BAL,vs. NO,9.2,,
K,Jake Elliott,PHI,@ TEN,9.2,,
K,Cam Little,JAC,@ DEN,9.2,,
K,Cairo Santos,CHI,vs. MIN,9.2,,
K,Chad Ryland,ARI,vs. SEA,9.0,,
K,Trey Smack,GB,@ NYJ,9.0,,
K,Nick Folk,ATL,vs. CAR,8.8,,
K,Chase McLaughlin,TB,vs. CLE,8.8,,
K,Matt Gay,LV,@ LAC,8.7,,
K,Jake Bates,DET,@ BUF,8.7,,
K,Tyler Bass,BUF,vs. DET,8.6,,
K,Harrison Mevis,LAR,vs. NYG,8.5,,
K,Dominic Zvada,NYG,@ LAR,8.5,,
K,Jason Myers,SEA,@ ARI,8.5,,
K,Wil Lutz,DEN,vs. JAC,8.5,,
K,Jason Sanders,NYJ,vs. GB,8.4,,
K,Joey Slye,TEN,vs. PHI,8.4,,
K,Spencer Shrader,IND,@ KC,8.3,,
K,Drew Stevens,WAS,@ DAL,8.2,,
K,Andre Szmyt,CLE,@ TB,8.2,,
K,Chris Boswell,PIT,@ NE,8.1,,
K,Will Reichard,MIN,@ CHI,8.0,,
K,Daniel Carlson,NO,@ BAL,7.1,,
K,Riley Patterson,MIA,@ SF,6.7,,
QB,Josh Allen,BUF,vs. DET,24.4,,
QB,Lamar Jackson,BAL,vs. NO,20.6,,
QB,Brock Purdy,SF,vs. MIA,20.0,,
QB,Caleb Williams,CHI,vs. MIN,19.8,,
QB,Jayden Daniels,WAS,@ DAL,19.0,,
QB,Patrick Mahomes,KC,vs. IND,19.0,,
QB,Dak Prescott,DAL,vs. WAS,19.0,,
QB,Matthew Stafford,LAR,vs. NYG,18.8,,
QB,Justin Herbert,LAC,vs. LV,18.4,,
QB,Jalen Hurts,PHI,@ TEN,18.4,,
QB,Drake Maye,NE,vs. PIT,18.2,,
QB,Jaxson Dart,NYG,@ LAR,18.1,,
QB,C.J. Stroud,HOU,vs. CIN,17.9,,
QB,Baker Mayfield,TB,vs. CLE,17.8,,
QB,Bryce Young,CAR,@ ATL,17.7,,
QB,Jared Goff,DET,@ BUF,17.1,,
QB,Joe Burrow,CIN,@ HOU,17.1,,
QB,Bo Nix,DEN,vs. JAC,16.4,,
QB,Jordan Love,GB,@ NYJ,16.0,,
QB,Trevor Lawrence,JAC,@ DEN,14.9,,
QB,Drew Lock,SEA,@ ARI,14.8,,
QB,Daniel Jones,IND,@ KC,14.5,,
QB,Wentz / Murray,MIN,@ CHI,14.4,,
QB,Tyler Shough,NO,@ BAL,14.3,,
QB,Geno Smith,NYJ,vs. GB,14.0,,
QB,Cooper Rush,ATL,vs. CAR,14.0,,
QB,Jacoby Brissett,ARI,vs. SEA,14.0,,
QB,Malik Willis,MIA,@ SF,12.9,,
QB,Kirk Cousins,LV,@ LAC,12.7,,
QB,Deshaun Watson,CLE,@ TB,12.4,,
QB,Aaron Rodgers,PIT,@ NE,12.2,,
QB,Cam Ward,TEN,vs. PHI,12.1,,
